time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2020-07-12T00:59:58.80Z,37.8346615,-121.6326892,18.058,1.24,2.24,4.53,196.012,137.501,11.86,0.00000,136.17360,3,4
2020-07-12T00:59:59.00Z,37.8346677,-121.6326683,13.277,0.68,0.83,2.18,155.303,109.949,8.39,0.00000,136.17414,3,4
2020-07-12T00:59:59.40Z,37.8347125,-121.6326405,12.078,-0.30,1.69,1.36,119.035,85.419,5.99,0.00000,136.17500,3,4
2020-07-12T00:59:59.60Z,37.8347369,-121.6326448,13.739,0.19,1.00,1.15,104.942,75.276,5.19,0.00000,136.17534,3,4
2020-07-12T00:59:59.80Z,37.8347507,-121.6326245,12.810,-0.03,1.13,0.85,95.140,68.284,4.70,0.00000,136.17566,3,4
2020-07-12T01:00:00.00Z,37.8347581,-121.6326042,10.825,0.41,0.94,0.83,87.214,62.625,4.10,0.00000,136.17594,3,4
2020-07-12T01:00:00.20Z,37.8347655,-121.6325839,8.543,0.79,0.41,0.71,80.370,57.934,3.06,0.00000,136.17614,3,4
2020-07-12T01:00:00.40Z,37.8347691,-121.6325522,5.810,0.57,0.97,1.01,74.746,54.316,3.30,0.00000,136.17636,3,4
2020-07-12T01:00:00.60Z,37.8347688,-121.6325205,3.446,0.36,0.74,0.94,67.757,50.682,3.01,0.00000,136.17656,3,4
2020-07-12T01:00:00.80Z,37.8347690,-121.6324985,1.947,0.09,0.64,0.72,62.637,47.651,2.82,0.00000,136.17674,3,4
2020-07-12T01:00:01.00Z,37.8347753,-121.6324806,0.302,0.33,0.63,0.79,58.619,45.073,2.57,0.00000,136.17692,3,4
2020-07-12T01:00:01.20Z,37.8347701,-121.6325524,5.840,0.30,0.42,0.63,37.706,26.792,1.45,0.00000,136.17702,3,5
2020-07-12T01:00:01.40Z,37.8347690,-121.6325463,7.003,-0.19,0.64,0.30,32.790,21.838,1.71,0.00000,136.17714,3,5
2020-07-12T01:00:01.60Z,37.8347675,-121.6325445,8.254,-0.54,0.65,0.19,30.310,19.371,1.92,0.00000,136.17726,3,5
2020-07-12T01:00:01.80Z,37.8347734,-121.6325367,9.802,-0.16,0.29,0.09,28.434,17.566,1.79,0.00000,136.17738,3,5
2020-07-12T01:00:02.00Z,37.8347738,-121.6325350,11.472,-0.43,0.43,0.03,26.720,16.265,2.00,0.00000,136.17752,3,6
2020-07-12T01:00:02.20Z,37.8347724,-121.6325324,12.989,-0.63,0.54,-0.01,25.736,15.238,2.06,129.88979,37.05286,3,5
2020-07-12T01:00:02.40Z,37.8347723,-121.6325377,14.365,-0.47,0.55,-0.03,24.725,14.484,1.99,129.88979,37.05334,3,6
2020-07-12T01:00:02.60Z,37.8347736,-121.6325399,15.719,-0.34,0.42,-0.06,23.833,13.778,1.95,129.88979,37.05382,3,6
2020-07-12T01:00:02.80Z,37.8347762,-121.6325440,16.577,-0.40,0.39,-0.02,22.917,13.076,1.82,129.88979,37.05426,3,6
2020-07-12T01:00:03.00Z,37.8347802,-121.6325494,17.101,-0.15,0.07,0.02,22.121,12.456,1.69,129.88979,37.05467,3,6
2020-07-12T01:00:03.20Z,37.8347825,-121.6325531,17.561,-0.26,-0.03,0.03,21.457,11.970,1.51,129.88979,37.05503,3,6
2020-07-12T01:00:03.40Z,37.8347852,-121.6325578,17.996,-0.38,-0.13,0.01,20.814,11.545,1.41,129.88979,37.05537,3,6
2020-07-12T01:00:03.60Z,37.8347913,-121.6325647,18.110,-0.05,-0.30,0.06,20.249,11.185,1.09,129.88979,37.05564,3,6
2020-07-12T01:00:03.80Z,37.8347979,-121.6325704,18.168,0.46,-0.30,0.17,19.740,10.851,1.73,129.88979,37.05606,3,6
2020-07-12T01:00:04.00Z,37.8348148,-121.6325880,18.054,0.88,-0.20,0.25,18.686,10.537,1.56,129.88979,37.05643,3,7
2020-07-12T01:00:04.20Z,37.8348304,-121.6326036,18.012,1.25,-0.21,0.41,17.838,10.282,1.49,129.88979,37.05680,3,7
2020-07-12T01:00:04.40Z,37.8348519,-121.6326243,17.595,1.11,-0.19,0.55,16.907,10.009,1.36,129.88979,37.05712,3,8
2020-07-12T01:00:04.60Z,37.8348703,-121.6326414,17.122,1.02,-0.03,0.65,16.125,9.762,1.25,129.88979,37.05743,3,8
2020-07-12T01:00:04.80Z,37.8348832,-121.6326537,16.730,0.87,0.06,0.69,15.455,9.541,1.18,129.88979,37.05771,3,8
2020-07-12T01:00:05.00Z,37.8348946,-121.6326649,16.509,0.85,-0.05,0.69,14.841,9.329,1.16,129.88979,37.05799,3,8
2020-07-12T01:00:05.20Z,37.8349045,-121.6326747,16.319,0.66,0.02,0.65,14.303,9.144,1.09,129.88979,37.05826,3,8
2020-07-12T01:00:05.40Z,37.8349140,-121.6326838,16.257,0.47,0.05,0.59,13.826,8.963,1.01,129.88979,37.05850,3,8
2020-07-12T01:00:05.60Z,37.8349236,-121.6326930,16.185,0.49,-0.03,0.55,13.421,8.798,1.08,129.88979,37.05876,3,8
2020-07-12T01:00:05.80Z,37.8349312,-121.6327005,16.173,0.15,0.17,0.45,13.043,8.640,0.78,129.88979,37.05895,3,8
2020-07-12T01:00:06.00Z,37.8349382,-121.6327080,16.075,-0.15,0.22,0.29,12.679,8.490,0.77,129.88979,37.05914,3,8
2020-07-12T01:00:06.20Z,37.8349457,-121.6327151,15.888,-0.23,0.20,0.24,12.337,8.356,0.85,129.88979,37.05934,3,8
2020-07-12T01:00:06.40Z,37.8349531,-121.6327204,15.737,-0.03,0.17,0.22,12.026,8.217,0.71,129.88979,37.05951,3,8
2020-07-12T01:00:06.60Z,37.8349611,-121.6327248,15.425,0.23,0.19,0.27,11.726,8.088,0.93,129.88979,37.05974,3,8
2020-07-12T01:00:06.80Z,37.8349682,-121.6327295,15.152,0.19,0.09,0.27,11.435,7.967,0.90,129.88979,37.05996,3,8
2020-07-12T01:00:07.00Z,37.8349750,-121.6327339,14.891,0.20,0.06,0.30,11.162,7.864,0.89,129.88979,37.06017,3,8
2020-07-12T01:00:07.20Z,37.8349811,-121.6327368,14.706,0.34,0.33,0.32,10.908,7.766,0.85,129.88979,37.06038,3,8
2020-07-12T01:00:07.40Z,37.8349867,-121.6327392,14.554,0.32,0.17,0.36,10.685,7.678,0.91,129.88979,37.06060,3,8
2020-07-12T01:00:07.60Z,37.8349921,-121.6327423,14.358,0.30,0.03,0.44,10.456,7.592,0.90,129.88979,37.06082,3,8
2020-07-12T01:00:07.80Z,37.8349960,-121.6327434,14.034,0.06,0.07,0.53,10.230,7.509,0.62,129.88979,37.06098,3,8
2020-07-12T01:00:08.00Z,37.8349996,-121.6327441,13.868,0.11,0.20,0.51,10.021,7.434,0.64,129.88979,37.06113,3,8
