time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2020-07-12T01:08:10.98Z,37.8346786,-121.6322010,13.521,0.55,0.55,-0.39,198.290,164.276,3.85,0.00000,141.47196,3,5
2020-07-12T01:08:11.17Z,37.8346832,-121.6319751,45.754,0.22,0.48,-0.15,56.343,42.921,1.75,0.00000,141.47198,3,6
2020-07-12T01:08:11.40Z,37.8347653,-121.6319748,46.700,0.03,0.25,-0.03,35.050,25.738,1.41,0.00000,141.47198,3,7
2020-07-12T01:08:11.60Z,37.8347395,-121.6320289,42.875,0.00,0.00,0.13,31.899,25.624,1.50,0.00000,141.47200,3,7
2020-07-12T01:08:11.80Z,37.8347309,-121.6320144,48.501,0.09,-0.27,0.28,29.911,24.614,1.61,0.00000,141.47204,3,7
2020-07-12T01:08:12.00Z,37.8347343,-121.6319339,53.170,0.23,-0.71,0.60,24.285,17.003,1.30,0.00000,141.47210,3,7
2020-07-12T01:08:12.21Z,37.8347646,-121.6318855,50.207,0.18,-0.95,0.98,17.295,13.139,1.21,0.00000,141.47218,3,7
2020-07-12T01:08:12.40Z,37.8347652,-121.6318691,54.231,-0.01,-1.14,1.41,15.643,11.762,1.15,0.00000,141.47230,3,7
2020-07-12T01:08:12.60Z,37.8347498,-121.6318627,54.550,0.06,-1.27,1.68,14.955,11.300,1.12,280.22876,41.84884,3,7
2020-07-12T01:08:12.79Z,37.8346989,-121.6319242,58.224,0.23,-1.31,1.91,18.173,12.679,1.11,280.18450,30.15314,3,7
2020-07-12T01:08:13.00Z,37.8347489,-121.6319132,53.060,0.29,-1.62,2.25,13.815,10.586,1.07,280.20001,22.44110,3,7
2020-07-12T01:08:13.20Z,37.8347256,-121.6319642,44.033,0.43,-2.16,2.62,13.513,11.222,1.00,280.67878,16.04661,3,7
2020-07-12T01:08:13.40Z,37.8347653,-121.6318802,55.256,0.55,-2.47,2.97,12.665,10.209,0.97,281.42068,12.34039,3,7
2020-07-12T01:08:13.60Z,37.8347766,-121.6318892,57.981,0.85,-2.44,3.30,14.772,11.628,0.96,283.77554,10.27634,3,7
2020-07-12T01:08:13.80Z,37.8347593,-121.6319003,55.131,0.93,-2.52,3.58,15.204,13.332,0.94,285.37118,8.91795,3,7
2020-07-12T01:08:14.00Z,37.8347627,-121.6319103,52.469,1.13,-2.85,3.97,12.860,10.638,0.93,286.91567,7.74716,3,7
2020-07-12T01:08:14.20Z,37.8347818,-121.6319975,44.950,1.06,-3.09,4.15,12.582,10.228,0.89,287.34732,6.85339,3,7
2020-07-12T01:08:14.40Z,37.8347878,-121.6319796,46.584,0.74,-3.64,4.40,12.638,10.473,0.85,285.98155,5.99962,3,7
2020-07-12T01:08:14.61Z,37.8347973,-121.6319839,51.843,0.80,-4.24,4.84,22.187,15.466,0.90,285.05983,5.45992,3,7
2020-07-12T01:08:14.78Z,37.8347143,-121.6319953,65.937,0.71,-4.01,5.12,20.835,12.429,0.91,284.36394,5.07756,3,7
2020-07-12T01:08:14.99Z,37.8347810,-121.6320031,48.029,0.76,-4.12,5.31,12.892,10.638,0.91,283.89905,4.77962,3,7
2020-07-12T01:08:15.21Z,37.8348497,-121.6320416,41.615,0.82,-4.39,5.49,21.781,16.465,0.97,283.54328,4.53323,3,7
