time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2020-07-12T01:07:52.20Z,37.8346653,-121.6320639,33.814,-0.01,-0.10,-1.16,99.251,154.867,5.90,0.00000,180.00000,3,5
2020-07-12T01:07:52.41Z,37.8346258,-121.6320483,32.201,-0.61,-0.10,-0.98,72.098,75.604,2.48,0.00000,87.18166,3,5
2020-07-12T01:07:52.58Z,37.8346827,-121.6321473,31.950,0.01,-0.08,0.03,34.657,55.442,1.52,0.00000,180.00000,3,5
2020-07-12T01:07:52.78Z,37.8346899,-121.6321195,25.980,0.06,0.06,-0.06,23.441,24.589,0.99,0.00000,180.00000,3,6
2020-07-12T01:07:53.00Z,37.8346593,-121.6321238,24.681,-0.06,-0.10,0.03,20.618,24.870,0.48,0.00000,180.00000,3,6
2020-07-12T01:07:53.20Z,37.8346666,-121.6321266,24.666,-0.13,0.01,-0.04,15.267,20.479,0.37,0.00000,90.63184,3,6
2020-07-12T01:07:53.40Z,37.8346619,-121.6321303,22.930,-0.11,-0.06,-0.03,12.055,16.960,0.37,0.00000,90.63186,3,6
2020-07-12T01:07:53.60Z,37.8346540,-121.6321433,24.361,-0.04,-0.03,0.08,10.447,14.495,0.41,0.00000,90.63190,3,6
2020-07-12T01:07:53.80Z,37.8346484,-121.6321500,24.746,-0.24,-0.13,0.10,8.544,12.227,0.38,237.65261,44.28553,3,6
2020-07-12T01:07:54.00Z,37.8346534,-121.6321537,27.616,0.03,-0.04,0.23,7.456,10.539,0.36,237.65261,44.28560,3,6
2020-07-12T01:07:54.20Z,37.8346482,-121.6321562,30.637,-0.19,-0.08,0.31,6.899,9.435,0.38,237.65261,44.28568,3,6
2020-07-12T01:07:54.40Z,37.8346414,-121.6321569,31.216,-0.28,-0.10,0.22,6.312,8.590,0.39,214.16562,34.63814,3,7
2020-07-12T01:07:54.60Z,37.8346382,-121.6321577,31.100,-0.18,-0.11,0.32,5.834,7.955,0.36,214.16562,34.63824,3,7
2020-07-12T01:07:54.80Z,37.8346383,-121.6321576,30.780,-0.07,-0.13,0.40,5.471,7.335,0.34,214.16562,34.63835,3,7
2020-07-12T01:07:55.00Z,37.8346378,-121.6321592,30.933,-0.12,-0.10,0.31,5.199,6.933,0.36,214.16562,34.63844,3,7
2020-07-12T01:07:55.20Z,37.8346415,-121.6321606,31.276,-0.16,-0.11,0.32,4.959,6.602,0.39,214.16562,34.63854,3,7
2020-07-12T01:07:55.40Z,37.8346410,-121.6321619,31.534,0.05,-0.02,0.31,4.747,6.311,0.36,214.16562,34.63864,3,7
2020-07-12T01:07:55.60Z,37.8346401,-121.6321626,32.472,0.01,-0.05,0.21,4.536,5.986,0.37,214.16562,34.63873,3,7
2020-07-12T01:07:55.80Z,37.8346373,-121.6321641,33.727,0.10,0.05,0.19,4.341,5.721,0.37,214.16562,34.63883,3,7
2020-07-12T01:07:56.00Z,37.8346362,-121.6321647,34.280,-0.05,-0.08,0.10,4.161,5.506,0.38,214.16562,34.63893,3,7
2020-07-12T01:07:56.20Z,37.8346363,-121.6321651,34.640,0.00,-0.05,0.11,4.006,5.313,0.38,214.16562,34.63903,3,7
2020-07-12T01:07:56.40Z,37.8346346,-121.6321659,35.133,-0.05,-0.02,0.06,3.870,5.137,0.39,214.16562,34.63913,3,7
2020-07-12T01:07:56.60Z,37.8346346,-121.6321655,35.247,-0.07,-0.01,0.11,3.754,4.964,0.38,214.16562,34.63923,3,7
2020-07-12T01:07:56.80Z,37.8346342,-121.6321662,34.971,-0.08,-0.06,0.03,3.666,4.830,0.40,214.16562,34.63933,3,8
