time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2020-07-12T01:07:40.17Z,37.8347317,-121.6320062,4.121,0.86,-0.63,1.63,118.699,146.863,5.88,0.00000,122.66168,3,5
2020-07-12T01:07:40.40Z,37.8346050,-121.6318813,17.018,-1.90,0.83,-0.99,76.636,98.675,6.11,0.00000,71.99750,3,5
2020-07-12T01:07:40.80Z,37.8345823,-121.6318848,21.442,0.54,-0.26,0.98,27.459,31.369,0.71,336.31067,27.29711,3,6
2020-07-12T01:07:41.00Z,37.8345684,-121.6318893,24.425,0.71,-0.54,1.13,20.007,23.379,0.51,327.78966,20.83380,3,7
2020-07-12T01:07:41.20Z,37.8345719,-121.6318832,30.344,0.62,-0.51,1.33,15.594,18.393,0.45,324.63952,23.51011,3,7
2020-07-12T01:07:41.40Z,37.8345744,-121.6318831,31.723,0.59,-0.50,1.39,12.681,15.059,0.42,322.10803,23.26858,3,7
2020-07-12T01:07:41.60Z,37.8345864,-121.6318752,33.044,0.58,-0.48,1.39,10.662,12.724,0.40,321.35966,23.66728,3,7
2020-07-12T01:07:41.80Z,37.8345930,-121.6318739,33.439,0.57,-0.48,1.40,9.070,11.025,0.38,320.71495,23.84631,3,7
2020-07-12T01:07:42.00Z,37.8345954,-121.6318708,33.065,0.54,-0.46,1.41,7.915,9.739,0.37,320.07089,25.79540,3,7
2020-07-12T01:07:42.20Z,37.8346085,-121.6318738,32.182,0.33,-0.49,1.40,7.015,8.738,0.35,314.62996,35.41841,3,8
2020-07-12T01:07:42.40Z,37.8346150,-121.6318713,31.087,0.30,-0.50,1.37,6.331,7.940,0.35,307.94979,36.71356,3,8
2020-07-12T01:07:42.60Z,37.8346129,-121.6318697,30.080,0.31,-0.55,1.39,5.746,7.227,0.34,303.54984,34.86210,3,8
2020-07-12T01:07:42.80Z,37.8346042,-121.6318664,30.075,0.31,-0.57,1.46,5.233,6.573,0.33,300.84691,34.40402,3,8
2020-07-12T01:07:43.00Z,37.8346007,-121.6318667,29.921,0.24,-0.54,1.47,4.824,6.044,0.32,297.77158,38.62345,3,8
2020-07-12T01:07:43.20Z,37.8345987,-121.6318673,28.992,0.32,-0.37,1.29,4.598,5.747,0.38,303.71931,42.64487,3,7
2020-07-12T01:07:43.40Z,37.8345958,-121.6318656,28.756,0.18,-0.35,1.15,4.424,5.520,0.40,303.71931,42.64513,3,7
2020-07-12T01:07:43.60Z,37.8345918,-121.6318616,28.604,0.29,-0.07,1.00,4.263,5.293,0.43,303.71931,42.64534,3,7
2020-07-12T01:07:43.80Z,37.8345877,-121.6318598,28.276,0.09,0.23,0.74,4.078,5.069,0.37,303.71931,42.64551,3,7
2020-07-12T01:07:44.00Z,37.8345814,-121.6318559,27.934,0.10,0.85,0.40,3.844,4.947,0.27,37.59501,29.70579,3,7
2020-07-12T01:07:44.20Z,37.8345746,-121.6318516,27.995,0.00,0.72,0.21,3.607,4.775,0.26,57.80500,37.60003,3,7
2020-07-12T01:07:44.40Z,37.8345687,-121.6318479,27.894,0.23,0.63,0.23,3.425,4.608,0.36,64.23218,34.23408,3,7
