time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2020-07-12T01:02:02.00Z,37.8351366,-121.6325414,10.740,0.04,0.21,-0.43,46.243,45.704,4.08,0.00000,180.00000,3,7
2020-07-12T01:02:02.20Z,37.8351216,-121.6325244,11.626,0.05,0.12,-0.20,26.583,24.329,1.16,0.00000,180.00000,3,7
2020-07-12T01:02:02.60Z,37.8350999,-121.6324906,14.766,0.04,0.03,0.00,16.714,19.284,0.20,0.00000,131.94346,3,7
2020-07-12T01:02:02.80Z,37.8350950,-121.6324724,18.380,0.05,-0.07,0.20,13.410,17.104,0.51,0.00000,131.94350,3,7
2020-07-12T01:02:03.00Z,37.8350844,-121.6324579,20.959,-0.06,-0.25,0.24,11.315,15.209,0.42,0.00000,131.94352,3,7
2020-07-12T01:02:03.20Z,37.8350736,-121.6324194,26.176,-0.23,-0.20,-0.02,9.640,13.370,0.24,0.00000,131.94356,3,7
2020-07-12T01:02:03.40Z,37.8350587,-121.6323970,30.625,-0.07,-0.49,0.30,8.523,11.801,0.37,267.11358,30.34274,3,7
2020-07-12T01:02:03.60Z,37.8350464,-121.6323712,35.046,-0.05,-0.49,0.46,7.633,10.565,0.38,265.58292,34.09034,3,7
2020-07-12T01:02:03.80Z,37.8350430,-121.6323637,38.105,0.10,-0.50,0.69,6.839,9.597,0.39,274.36523,29.29692,3,7
2020-07-12T01:02:04.00Z,37.8350367,-121.6323586,39.464,0.15,-0.58,0.86,6.172,8.722,0.38,280.21124,24.11761,3,7
2020-07-12T01:02:04.20Z,37.8350325,-121.6323531,40.368,0.17,-0.61,0.96,5.649,8.029,0.37,282.99862,22.86573,3,7
2020-07-12T01:02:04.40Z,37.8350312,-121.6323492,41.254,0.24,-0.64,1.05,5.209,7.429,0.35,287.37860,20.75060,3,8
2020-07-12T01:02:04.60Z,37.8350315,-121.6323454,42.051,0.14,-0.65,1.13,4.894,6.995,0.34,284.86984,22.49883,3,8
2020-07-12T01:02:04.80Z,37.8350341,-121.6323433,42.944,0.15,-0.65,1.14,4.593,6.617,0.33,283.80007,21.17983,3,9
2020-07-12T01:02:05.00Z,37.8350343,-121.6323422,43.725,0.13,-0.36,0.83,4.332,6.281,0.37,285.43153,36.22070,3,9
2020-07-12T01:02:05.20Z,37.8350350,-121.6323459,43.996,0.11,-0.24,0.60,4.125,5.978,0.38,285.43153,36.22086,3,9
2020-07-12T01:02:05.40Z,37.8350358,-121.6323493,44.022,0.07,-0.10,0.42,3.948,5.698,0.38,285.43153,36.22097,3,9
2020-07-12T01:02:05.60Z,37.8350339,-121.6323488,44.557,-0.04,-0.30,0.29,3.824,5.489,0.41,285.43153,36.22108,3,9
2020-07-12T01:02:05.80Z,37.8350332,-121.6323486,44.732,0.05,-0.17,0.27,3.738,5.394,0.46,285.43153,36.22119,3,9
2020-07-12T01:02:06.00Z,37.8350319,-121.6323468,44.973,0.06,-0.12,0.24,3.646,5.289,0.47,285.43153,36.22131,3,9
2020-07-12T01:02:06.20Z,37.8350323,-121.6323469,44.988,0.01,-0.02,0.16,3.570,5.201,0.47,285.43153,36.22143,3,9
2020-07-12T01:02:06.40Z,37.8350314,-121.6323449,45.255,0.01,0.02,0.12,3.500,5.119,0.44,285.43153,36.22154,3,9
2020-07-12T01:02:06.60Z,37.8350301,-121.6323429,45.603,-0.01,-0.15,0.17,3.437,5.051,0.54,285.43153,36.22167,3,8
2020-07-12T01:02:06.80Z,37.8350291,-121.6323411,45.934,0.01,-0.10,0.17,3.378,4.991,0.54,285.43153,36.22181,3,8
2020-07-12T01:02:07.00Z,37.8350287,-121.6323408,45.957,0.02,-0.10,0.15,3.307,4.890,0.52,285.43153,36.22194,3,9
2020-07-12T01:02:07.20Z,37.8350286,-121.6323399,45.939,0.05,-0.04,0.12,3.240,4.794,0.50,285.43153,36.22206,3,9
2020-07-12T01:02:07.40Z,37.8350290,-121.6323400,45.802,0.00,-0.02,0.08,3.179,4.704,0.48,285.43153,36.22218,3,9
2020-07-12T01:02:07.60Z,37.8350296,-121.6323411,45.726,0.02,-0.03,0.08,3.119,4.618,0.49,285.43153,36.22230,3,9
2020-07-12T01:02:07.80Z,37.8350305,-121.6323427,45.582,0.02,-0.08,0.10,3.061,4.537,0.49,285.43153,36.22242,3,9
2020-07-12T01:02:08.00Z,37.8350315,-121.6323443,45.493,0.00,-0.10,0.11,3.009,4.465,0.48,285.43153,36.22254,3,9
2020-07-12T01:02:08.20Z,37.8350322,-121.6323459,45.360,-0.03,-0.08,0.14,2.966,4.400,0.48,285.43153,36.22266,3,9
2020-07-12T01:02:08.40Z,37.8350333,-121.6323486,45.158,-0.02,-0.10,0.15,2.916,4.326,0.49,285.43153,36.22278,3,9
2020-07-12T01:02:08.60Z,37.8350345,-121.6323513,44.951,0.04,-0.06,0.14,2.869,4.256,0.48,285.43153,36.22290,3,9
2020-07-12T01:02:08.80Z,37.8350361,-121.6323536,44.464,0.01,-0.02,0.15,2.810,4.169,0.44,285.43153,36.22301,3,9
2020-07-12T01:02:09.00Z,37.8350388,-121.6323559,43.879,0.06,-0.11,0.21,2.726,4.072,0.43,285.43153,36.22312,3,9
2020-07-12T01:02:09.20Z,37.8350416,-121.6323591,43.103,-0.06,-0.11,0.26,2.647,3.977,0.39,285.43153,36.22322,3,9
2020-07-12T01:02:09.40Z,37.8350448,-121.6323633,42.077,-0.15,-0.04,0.20,2.571,3.877,0.28,285.43153,36.22329,3,8
