time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2020-07-12T01:06:54.20Z,37.8351067,-121.6327319,-0.657,-1.02,1.63,-2.85,160.946,240.133,11.24,0.00000,118.14316,3,6
2020-07-12T01:06:54.41Z,37.8350629,-121.6325453,23.978,-0.45,0.86,-1.63,75.496,75.975,3.98,0.00000,118.14346,3,6
2020-07-12T01:06:54.59Z,37.8350629,-121.6325453,23.978,-0.45,0.86,-1.63,75.496,75.975,3.98,0.00000,118.14346,3,6
2020-07-12T01:06:54.79Z,37.8349529,-121.6324007,38.750,-0.04,0.09,0.19,23.552,25.191,0.63,0.00000,180.00000,3,7
2020-07-12T01:06:55.00Z,37.8349830,-121.6323881,47.336,0.06,0.03,0.20,19.103,20.715,0.58,0.00000,180.00000,3,8
2020-07-12T01:06:55.20Z,37.8349501,-121.6323748,50.546,-0.07,0.05,0.21,14.471,16.193,0.40,0.00000,149.19066,3,8
2020-07-12T01:06:55.40Z,37.8349553,-121.6323939,47.579,-0.22,0.03,0.17,11.688,13.479,0.24,0.00000,149.19066,3,8
2020-07-12T01:06:55.60Z,37.8349487,-121.6324094,44.573,-0.32,0.02,0.05,9.872,11.736,0.23,0.00000,149.19070,3,8
2020-07-12T01:06:55.80Z,37.8349493,-121.6324221,42.110,0.06,-0.11,0.24,8.565,10.320,0.41,0.00000,149.19072,3,9
2020-07-12T01:06:56.00Z,37.8349508,-121.6324347,40.809,-0.02,-0.22,0.40,7.666,9.342,0.39,0.00000,149.19074,3,9
2020-07-12T01:06:56.20Z,37.8349579,-121.6324426,40.849,0.14,-0.26,0.60,6.997,8.654,0.41,0.00000,149.19080,3,9
2020-07-12T01:06:56.40Z,37.8349590,-121.6324418,39.887,0.27,-0.29,0.70,6.433,8.046,0.41,315.27439,30.26900,3,9
2020-07-12T01:06:56.60Z,37.8349690,-121.6324646,36.883,0.43,-0.18,0.81,6.016,7.720,0.40,324.23427,36.87880,3,7
2020-07-12T01:06:56.80Z,37.8349880,-121.6325029,32.175,0.34,-0.17,0.94,5.524,7.302,0.41,329.21099,36.79109,3,7
2020-07-12T01:06:57.00Z,37.8349974,-121.6325236,29.474,0.45,-0.08,1.17,5.210,7.040,0.40,338.95352,38.89904,3,7
2020-07-12T01:06:57.20Z,37.8350004,-121.6325350,28.351,-1.10,0.23,1.30,4.945,6.901,0.42,211.09544,22.58654,3,7
2020-07-12T01:06:57.40Z,37.8350037,-121.6325423,26.823,-1.12,-0.27,1.24,4.826,6.666,0.65,202.90499,23.90964,3,7
2020-07-12T01:06:57.60Z,37.8350040,-121.6325449,25.727,-0.57,-0.20,1.10,4.711,6.470,0.52,201.99860,44.00222,3,7
2020-07-12T01:06:57.80Z,37.8350016,-121.6325484,25.212,-0.81,-0.35,1.08,4.621,6.406,0.55,202.90883,38.80817,3,7
2020-07-12T01:06:58.00Z,37.8349991,-121.6325511,24.802,-0.13,-0.81,1.14,4.580,6.360,0.66,202.90883,38.80849,3,7
2020-07-12T01:06:58.20Z,37.8349977,-121.6325527,24.313,-0.99,-0.42,1.34,4.493,6.311,0.58,202.86924,42.51212,3,8
2020-07-12T01:06:58.40Z,37.8349968,-121.6325590,23.663,-1.57,-0.43,1.15,4.388,6.178,0.51,196.90885,21.01551,3,8
2020-07-12T01:06:58.60Z,37.8349972,-121.6325646,23.226,-1.14,-0.28,0.96,4.310,6.073,0.51,195.90051,28.86554,3,7
2020-07-12T01:06:58.80Z,37.8349997,-121.6325702,22.348,-0.43,0.08,1.08,4.230,5.963,0.52,195.90051,28.86590,3,8
2020-07-12T01:06:59.00Z,37.8350003,-121.6325728,21.907,-0.47,0.21,0.96,4.138,5.876,0.49,195.90051,28.86624,3,8
2020-07-12T01:06:59.20Z,37.8350022,-121.6325764,20.942,-0.27,-0.06,0.91,4.072,5.776,0.56,195.90051,28.86654,3,8
2020-07-12T01:06:59.40Z,37.8350020,-121.6325768,20.279,-0.58,0.49,0.84,3.976,5.640,0.45,175.61524,38.31525,3,8
2020-07-12T01:06:59.60Z,37.8350021,-121.6325775,19.740,-0.78,0.81,0.65,3.875,5.507,0.42,144.96500,23.09934,3,8
2020-07-12T01:06:59.80Z,37.8350025,-121.6325778,19.164,-0.62,1.01,0.62,3.789,5.400,0.45,132.10747,21.05980,3,8
2020-07-12T01:07:00.00Z,37.8350018,-121.6325764,19.046,-0.64,0.60,0.53,3.722,5.309,0.61,133.72140,30.78923,3,8
2020-07-12T01:07:00.20Z,37.8350021,-121.6325791,18.506,-0.88,0.37,0.51,3.654,5.217,0.49,146.06435,29.55882,3,8
2020-07-12T01:07:00.40Z,37.8350020,-121.6325809,17.982,-0.93,0.30,0.57,3.592,5.134,0.30,155.00102,26.08945,3,8
2020-07-12T01:07:00.60Z,37.8350019,-121.6325814,17.687,-0.96,0.17,0.46,3.556,5.073,0.27,161.81852,28.90010,3,7
2020-07-12T01:07:00.80Z,37.8350016,-121.6325801,17.375,-0.93,0.66,0.43,3.502,5.010,0.42,150.78647,21.18095,3,7
2020-07-12T01:07:01.00Z,37.8350012,-121.6325788,17.111,-0.72,0.89,0.48,3.465,4.942,0.43,138.14706,17.82776,3,7
2020-07-12T01:07:01.20Z,37.8350005,-121.6325791,16.777,-0.81,0.72,0.30,3.395,4.851,0.36,138.46696,14.51049,3,8
2020-07-12T01:07:01.40Z,37.8349999,-121.6325801,16.293,-0.77,0.51,0.44,3.341,4.783,0.33,141.37959,19.27463,3,8
