time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2020-07-12T00:59:09.80Z,37.8350554,-121.6328217,30.950,-0.09,0.04,0.88,50.653,88.171,3.64,0.00000,180.00000,3,4
2020-07-12T00:59:10.00Z,37.8350250,-121.6328402,28.288,-0.34,-0.25,1.27,36.363,48.190,2.05,0.00000,98.76928,3,4
2020-07-12T00:59:10.20Z,37.8350250,-121.6328402,28.288,-0.34,-0.25,1.27,36.363,48.190,2.05,0.00000,98.76928,3,4
2020-07-12T00:59:10.40Z,37.8350330,-121.6328126,24.920,-0.36,-0.31,1.35,28.362,45.286,1.78,0.00000,98.76962,3,4
2020-07-12T00:59:10.60Z,37.8350410,-121.6328067,25.178,-0.33,-0.27,1.18,24.893,41.205,1.71,0.00000,98.76978,3,4
2020-07-12T00:59:10.80Z,37.8350424,-121.6328025,25.192,-0.30,-0.26,1.04,22.483,38.251,1.64,0.00000,98.76994,3,4
2020-07-12T00:59:11.00Z,37.8350447,-121.6327998,25.329,-0.18,-0.21,0.86,20.722,35.873,1.59,0.00000,98.77008,3,4
2020-07-12T00:59:11.20Z,37.8350471,-121.6327938,25.584,-0.18,-0.12,0.69,19.166,33.846,1.54,0.00000,98.77022,3,4
2020-07-12T00:59:11.40Z,37.8350457,-121.6327914,25.534,-0.13,-0.06,0.52,17.952,32.124,1.47,0.00000,98.77036,3,4
2020-07-12T00:59:11.60Z,37.8350297,-121.6328362,15.265,-0.15,-0.13,0.47,15.015,26.200,1.29,0.00000,98.77048,3,5
2020-07-12T00:59:11.80Z,37.8350162,-121.6328608,8.350,-0.07,-0.05,0.33,13.243,22.311,1.15,0.00000,98.77058,3,5
2020-07-12T00:59:12.00Z,37.8350071,-121.6328715,4.739,-0.02,-0.07,0.16,12.046,20.003,0.95,0.00000,98.77066,3,5
2020-07-12T00:59:12.20Z,37.8350031,-121.6328543,3.042,-0.06,0.00,0.13,11.187,18.683,0.85,0.00000,98.77074,3,7
2020-07-12T00:59:12.40Z,37.8349981,-121.6328434,0.943,-0.02,0.00,0.08,10.394,17.312,0.64,0.00000,98.77080,3,8
