time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2020-07-11T21:39:00.20Z,37.8347518,-121.6322052,19.125,-0.04,0.25,0.34,12.659,13.078,0.66,0.00000,138.00214,3,7
2020-07-11T21:39:00.40Z,37.8347533,-121.6322060,19.183,-0.06,0.00,0.21,8.870,6.895,0.36,0.00000,138.00218,3,7
2020-07-11T21:39:00.60Z,37.8347538,-121.6322070,19.307,-0.05,0.09,0.27,8.733,7.428,0.32,0.00000,138.00220,3,7
2020-07-11T21:39:00.80Z,37.8347569,-121.6322052,19.214,-0.06,0.12,0.23,7.120,6.466,0.30,0.00000,138.00222,3,7
2020-07-11T21:39:01.00Z,37.8347446,-121.6321957,17.506,-0.06,0.39,0.14,5.411,5.087,0.18,90.52157,40.13439,3,8
2020-07-11T21:39:01.20Z,37.8347359,-121.6321905,16.538,-0.06,0.50,0.15,4.534,4.395,0.16,94.81858,25.74239,3,8
2020-07-11T21:39:01.40Z,37.8347340,-121.6321894,16.361,-0.10,0.18,0.14,3.973,3.934,0.20,94.81858,25.74248,3,8
2020-07-11T21:39:01.60Z,37.8347340,-121.6321893,16.391,-0.13,0.13,0.04,3.664,3.668,0.20,94.81858,25.74255,3,8
2020-07-11T21:39:01.80Z,37.8347349,-121.6321896,16.442,0.05,-0.02,0.14,3.436,3.469,0.21,94.81858,25.74262,3,8
2020-07-11T21:39:02.00Z,37.8347362,-121.6321903,16.547,0.06,-0.07,0.21,3.254,3.306,0.21,94.81858,25.74270,3,8
2020-07-11T21:39:02.20Z,37.8347380,-121.6321905,16.698,0.10,0.01,0.15,3.106,3.168,0.23,94.81858,25.74278,3,8
2020-07-11T21:39:02.40Z,37.8347393,-121.6321905,16.833,0.09,0.03,0.22,2.951,3.030,0.22,94.81858,25.74287,3,8
2020-07-11T21:39:02.60Z,37.8347405,-121.6321905,16.934,0.15,-0.11,0.21,2.840,2.928,0.20,94.81858,25.74297,3,8
2020-07-11T21:39:02.80Z,37.8347416,-121.6321899,17.079,0.26,0.03,0.05,2.734,2.829,0.23,61.27764,33.01698,3,8
2020-07-11T21:39:03.00Z,37.8347420,-121.6321892,17.189,-0.05,0.09,0.07,2.639,2.740,0.21,61.27764,33.01703,3,8
2020-07-11T21:39:03.20Z,37.8347417,-121.6321884,17.230,-0.04,0.07,0.09,2.557,2.659,0.22,61.27764,33.01709,3,8
2020-07-11T21:39:03.40Z,37.8347407,-121.6321876,17.251,-0.13,0.06,0.05,2.482,2.586,0.23,61.27764,33.01716,3,8
2020-07-11T21:39:03.60Z,37.8347402,-121.6321870,17.364,-0.23,0.12,-0.05,2.407,2.512,0.20,102.67815,36.35479,3,8
2020-07-11T21:39:03.80Z,37.8347399,-121.6321860,17.448,-0.13,0.31,-0.02,2.374,2.488,0.18,106.63905,42.32835,3,7
2020-07-11T21:39:04.00Z,37.8347400,-121.6321860,17.550,-0.03,0.01,0.01,2.330,2.447,0.29,106.63905,42.32841,3,7
2020-07-11T21:39:04.20Z,37.8347400,-121.6321861,17.631,-0.06,0.02,0.09,2.288,2.404,0.31,106.63905,42.32848,3,7
2020-07-11T21:39:04.40Z,37.8347401,-121.6321863,17.724,-0.04,0.01,0.06,2.248,2.364,0.30,106.63905,42.32854,3,7
2020-07-11T21:39:04.60Z,37.8347401,-121.6321866,17.824,-0.03,0.02,0.04,2.209,2.324,0.30,106.63905,42.32860,3,8
2020-07-11T21:39:04.80Z,37.8347401,-121.6321868,17.911,-0.02,0.02,0.05,2.173,2.287,0.28,106.63905,42.32867,3,8
2020-07-11T21:39:05.00Z,37.8347400,-121.6321875,17.991,-0.20,-0.24,0.14,2.149,2.266,0.27,166.36443,43.84366,3,8
2020-07-11T21:39:05.20Z,37.8347394,-121.6321898,18.039,-0.30,-0.93,0.17,2.118,2.231,0.26,234.71033,22.08551,3,8
2020-07-11T21:39:05.40Z,37.8347379,-121.6321915,18.133,-0.66,-0.75,-0.13,2.091,2.199,0.28,231.40533,19.03005,3,8
2020-07-11T21:39:05.60Z,37.8347362,-121.6321931,18.145,-0.78,-0.65,0.00,2.067,2.168,0.31,223.88792,13.95101,3,8
2020-07-11T21:39:05.80Z,37.8347349,-121.6321938,18.129,-0.70,-0.30,0.13,2.034,2.134,0.31,215.04332,15.97456,3,8
2020-07-11T21:39:06.00Z,37.8347347,-121.6321949,18.185,-0.23,-0.35,0.09,2.008,2.104,0.30,215.04332,15.97480,3,8
2020-07-11T21:39:06.20Z,37.8347340,-121.6321959,18.123,-0.23,-0.46,0.27,1.982,2.074,0.25,220.36375,33.25818,3,8
2020-07-11T21:39:06.40Z,37.8347339,-121.6321970,18.033,-0.01,-0.55,0.41,1.964,2.058,0.24,242.71818,35.73926,3,8
2020-07-11T21:39:06.60Z,37.8347328,-121.6321975,17.919,-0.38,-0.25,0.48,1.947,2.038,0.38,228.83735,37.99505,3,8
2020-07-11T21:39:06.80Z,37.8347313,-121.6321979,17.883,-0.48,-0.33,0.20,1.926,2.021,0.34,219.35258,28.13238,3,8
2020-07-11T21:39:07.00Z,37.8347309,-121.6321982,17.944,-0.18,-0.11,-0.03,1.918,2.011,0.54,219.35258,28.13255,3,8
2020-07-11T21:39:07.20Z,37.8347309,-121.6321987,18.013,-0.09,-0.18,-0.14,1.941,2.020,0.67,219.35258,28.13277,3,8
2020-07-11T21:39:07.40Z,37.8347312,-121.6321992,18.058,-0.09,-0.17,-0.02,1.922,2.014,0.47,219.35258,28.13292,3,8
2020-07-11T21:39:07.60Z,37.8347306,-121.6321999,18.021,-0.23,-0.29,0.09,1.899,1.999,0.37,219.35258,28.13304,3,8
2020-07-11T21:39:07.80Z,37.8347299,-121.6322000,17.933,-0.15,-0.13,0.10,1.882,1.988,0.37,219.35258,28.13316,3,8
2020-07-11T21:39:08.00Z,37.8347286,-121.6321999,17.840,-0.10,-0.13,0.03,1.863,1.973,0.29,219.35258,28.13325,3,8
2020-07-11T21:39:08.20Z,37.8347287,-121.6322005,17.803,-0.11,-0.23,0.16,1.856,1.964,0.34,219.35258,28.13336,3,8
2020-07-11T21:39:08.40Z,37.8347289,-121.6322014,17.653,0.17,-0.38,0.30,1.849,1.954,0.29,219.35258,28.13352,3,8
2020-07-11T21:39:08.60Z,37.8347296,-121.6322026,17.628,0.30,-0.50,0.28,1.853,1.950,0.27,219.35258,28.13373,3,8
2020-07-11T21:39:08.80Z,37.8347298,-121.6322039,17.590,0.08,-0.56,0.35,1.855,1.945,0.29,219.35258,28.13394,3,8
2020-07-11T21:39:09.00Z,37.8347305,-121.6322044,17.542,0.32,-0.35,0.27,1.857,1.943,0.33,219.35258,28.13412,3,8
2020-07-11T21:39:09.20Z,37.8347305,-121.6322052,17.520,0.07,-0.36,0.21,1.855,1.940,0.30,219.35258,28.13425,3,8
2020-07-11T21:39:09.40Z,37.8347297,-121.6322050,17.510,-0.36,0.13,0.26,1.850,1.942,0.45,219.35258,28.13440,3,8
