time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2020-07-11T21:40:30.20Z,37.8347357,-121.6321406,11.673,0.00,-0.02,-0.03,10.274,8.856,0.37,0.00000,180.00000,3,5
2020-07-11T21:40:30.40Z,37.8347350,-121.6321406,11.724,-0.01,-0.01,0.01,6.589,5.310,0.25,0.00000,180.00000,3,5
2020-07-11T21:40:30.60Z,37.8347345,-121.6321414,11.742,0.00,-0.03,0.05,6.776,5.587,0.30,0.00000,180.00000,3,5
2020-07-11T21:40:30.80Z,37.8347344,-121.6321424,11.687,0.03,-0.04,0.04,5.993,4.983,0.27,0.00000,180.00000,3,5
2020-07-11T21:40:31.00Z,37.8347344,-121.6321420,11.682,-0.01,-0.03,0.03,5.444,4.550,0.27,0.00000,180.00000,3,5
2020-07-11T21:40:31.20Z,37.8347341,-121.6321415,11.740,0.01,-0.04,0.00,5.029,4.219,0.26,0.00000,180.00000,3,5
2020-07-11T21:40:31.40Z,37.8347339,-121.6321406,11.796,0.01,-0.04,0.02,4.698,3.952,0.27,0.00000,180.00000,3,5
2020-07-11T21:40:31.60Z,37.8347341,-121.6321404,11.759,0.01,-0.07,0.04,4.399,3.712,0.27,0.00000,137.37032,3,5
2020-07-11T21:40:31.80Z,37.8347339,-121.6321399,11.731,0.02,-0.04,0.05,4.151,3.511,0.27,0.00000,137.37032,3,5
2020-07-11T21:40:32.00Z,37.8347338,-121.6321398,11.762,0.01,-0.05,0.02,3.942,3.340,0.26,0.00000,137.37034,3,5
2020-07-11T21:40:32.20Z,37.8347337,-121.6321397,11.769,0.00,-0.04,0.03,3.761,3.192,0.26,0.00000,137.37036,3,5
2020-07-11T21:40:32.40Z,37.8347337,-121.6321393,11.783,-0.01,0.01,0.02,3.604,3.063,0.27,0.00000,137.37036,3,5
2020-07-11T21:40:32.60Z,37.8347334,-121.6321389,11.791,0.02,-0.02,0.05,3.465,2.949,0.27,0.00000,137.37038,3,5
2020-07-11T21:40:32.80Z,37.8347330,-121.6321383,11.888,-0.03,-0.01,0.01,3.342,2.846,0.18,0.00000,137.37040,3,5
2020-07-11T21:40:33.00Z,37.8347328,-121.6321378,11.964,0.02,-0.01,0.02,3.231,2.755,0.24,0.00000,137.37042,3,5
2020-07-11T21:40:33.20Z,37.8347327,-121.6321373,12.034,0.01,0.00,0.00,3.130,2.671,0.19,0.00000,137.37042,3,5
2020-07-11T21:40:33.40Z,37.8347323,-121.6321368,12.099,-0.01,-0.03,-0.01,3.039,2.595,0.24,0.00000,137.37044,3,5
2020-07-11T21:40:33.60Z,37.8347319,-121.6321364,12.135,0.00,0.00,0.02,2.955,2.525,0.25,0.00000,137.37046,3,5
2020-07-11T21:40:33.80Z,37.8347316,-121.6321361,12.185,-0.01,-0.02,0.00,2.878,2.461,0.21,0.00000,137.37046,3,5
2020-07-11T21:40:34.00Z,37.8347315,-121.6321362,12.224,0.05,-0.09,0.02,2.807,2.402,0.23,0.00000,137.37048,3,5
2020-07-11T21:40:34.20Z,37.8347312,-121.6321362,12.253,0.00,-0.07,0.05,2.741,2.347,0.24,0.00000,137.37050,3,5
2020-07-11T21:40:34.40Z,37.8347311,-121.6321360,12.295,0.04,-0.05,0.03,2.680,2.296,0.24,0.00000,137.37050,3,5
2020-07-11T21:40:34.60Z,37.8347310,-121.6321357,12.330,0.00,-0.04,0.07,2.623,2.248,0.25,0.00000,137.37052,3,5
2020-07-11T21:40:34.80Z,37.8347309,-121.6321356,12.336,-0.02,-0.10,0.10,2.569,2.204,0.24,0.00000,137.37054,3,5
2020-07-11T21:40:35.00Z,37.8347309,-121.6321353,12.351,0.05,-0.08,0.07,2.517,2.161,0.23,0.00000,137.37054,3,5
2020-07-11T21:40:35.20Z,37.8347308,-121.6321349,12.372,0.02,-0.07,0.08,2.467,2.120,0.24,0.00000,137.37056,3,5
2020-07-11T21:40:35.40Z,37.8347308,-121.6321346,12.382,0.02,-0.07,0.08,2.421,2.082,0.24,0.00000,137.37058,3,5
2020-07-11T21:40:35.60Z,37.8347309,-121.6321344,12.381,0.01,-0.04,0.06,2.377,2.046,0.25,0.00000,137.37058,3,5
2020-07-11T21:40:35.80Z,37.8347309,-121.6321341,12.388,0.01,-0.05,0.04,2.336,2.012,0.23,0.00000,137.37060,3,5
2020-07-11T21:40:36.00Z,37.8347310,-121.6321339,12.372,0.01,-0.04,0.07,2.297,1.980,0.26,0.00000,137.37062,3,5
2020-07-11T21:40:36.20Z,37.8347311,-121.6321337,12.363,0.02,-0.01,0.03,2.260,1.950,0.25,0.00000,137.37062,3,5
2020-07-11T21:40:36.40Z,37.8347311,-121.6321336,12.372,-0.02,-0.01,0.00,2.225,1.921,0.18,0.00000,137.37064,3,5
2020-07-11T21:40:36.60Z,37.8347311,-121.6321334,12.362,0.00,0.03,0.01,2.192,1.894,0.25,0.00000,137.37066,3,5
2020-07-11T21:40:36.80Z,37.8347312,-121.6321334,12.363,-0.01,0.03,-0.02,2.160,1.868,0.23,0.00000,137.37066,3,5
