time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2020-07-11T21:41:30.20Z,37.8346519,-121.6318366,35.993,0.12,-0.41,0.39,85.156,78.657,2.90,0.00000,140.49840,3,4
2020-07-11T21:41:30.40Z,37.8346509,-121.6318799,32.155,-0.22,-0.21,0.22,42.207,36.549,1.32,0.00000,140.49848,3,4
2020-07-11T21:41:30.60Z,37.8346478,-121.6318584,34.086,0.00,-0.37,0.26,45.319,40.409,1.36,0.00000,140.49856,3,4
2020-07-11T21:41:30.80Z,37.8346549,-121.6318365,36.183,0.05,0.09,-0.19,37.165,33.403,1.15,0.00000,140.49864,3,4
2020-07-11T21:41:31.00Z,37.8346688,-121.6317423,44.757,-0.02,-0.16,-0.01,32.074,28.782,0.82,0.00000,140.49870,3,4
2020-07-11T21:41:31.20Z,37.8346766,-121.6317806,41.379,0.14,-0.02,-0.02,25.423,22.294,0.31,0.00000,140.49872,3,4
2020-07-11T21:41:31.40Z,37.8346894,-121.6318828,32.599,0.23,-0.07,-0.05,22.764,19.820,0.33,0.00000,140.49874,3,4
2020-07-11T21:41:31.60Z,37.8347004,-121.6319507,26.862,-0.05,0.00,-0.04,21.489,18.688,0.38,0.00000,140.49878,3,4
2020-07-11T21:41:31.80Z,37.8347035,-121.6319617,26.006,0.06,0.04,-0.02,20.632,17.970,0.74,0.00000,140.49882,3,4
2020-07-11T21:41:32.00Z,37.8347066,-121.6319786,24.602,-0.02,0.00,0.05,19.933,17.395,0.68,0.00000,140.49886,3,4
2020-07-11T21:41:32.20Z,37.8347087,-121.6319856,24.098,-0.05,-0.01,0.01,19.452,17.017,0.59,0.00000,140.49890,3,4
2020-07-11T21:41:32.40Z,37.8347100,-121.6319942,23.431,0.01,-0.05,0.03,19.039,16.697,0.90,0.00000,140.49896,3,4
2020-07-11T21:41:32.60Z,37.8347105,-121.6319977,23.169,0.01,0.01,0.02,18.661,16.412,0.35,0.00000,140.49896,3,4
2020-07-11T21:41:32.80Z,37.8347040,-121.6320090,22.204,-0.29,0.07,0.05,17.936,15.662,0.33,0.00000,140.49900,3,4
2020-07-11T21:41:33.00Z,37.8346996,-121.6320207,21.180,-0.02,-0.09,0.15,17.211,14.891,0.86,0.00000,140.49904,3,4
2020-07-11T21:41:33.20Z,37.8346957,-121.6320341,20.136,-0.11,-0.10,0.20,16.407,14.172,0.76,0.00000,140.49910,3,4
2020-07-11T21:41:33.40Z,37.8346917,-121.6320465,19.177,-0.34,-0.20,0.30,15.740,13.584,0.70,0.00000,140.49914,3,4
2020-07-11T21:41:33.60Z,37.8346889,-121.6320564,18.503,-0.44,-0.18,0.23,15.173,13.090,0.62,0.00000,140.49918,3,4
2020-07-11T21:41:33.80Z,37.8346898,-121.6320538,18.840,-0.47,-0.37,0.31,14.788,12.778,0.78,0.00000,140.49924,3,4
2020-07-11T21:41:34.00Z,37.8346928,-121.6320449,19.547,-0.17,-0.12,0.46,14.531,12.493,0.77,0.00000,140.49930,3,4
