time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2020-07-11T21:40:30.40Z,37.8346614,-121.6321991,18.655,-0.16,-0.07,-0.06,26.899,16.515,1.02,0.00000,117.80802,3,5
2020-07-11T21:40:30.60Z,37.8346646,-121.6321988,18.254,-0.06,0.06,-0.09,14.572,9.020,0.45,0.00000,117.80806,3,5
2020-07-11T21:40:30.80Z,37.8346632,-121.6321993,17.991,-0.14,0.01,-0.07,14.782,8.896,0.70,0.00000,117.80810,3,5
2020-07-11T21:40:31.00Z,37.8346590,-121.6322018,18.008,0.02,0.01,-0.04,12.938,7.657,0.31,0.00000,117.80814,3,5
2020-07-11T21:40:31.20Z,37.8346597,-121.6321982,17.437,0.04,0.04,-0.08,11.653,6.825,0.34,0.00000,117.80816,3,5
2020-07-11T21:40:31.40Z,37.8346603,-121.6321954,16.942,0.08,-0.12,0.00,10.678,6.126,0.34,0.00000,117.80818,3,5
2020-07-11T21:40:31.60Z,37.8346595,-121.6321965,17.000,0.14,-0.10,0.04,9.895,5.742,0.53,0.00000,117.80822,3,5
2020-07-11T21:40:31.80Z,37.8346601,-121.6321972,16.940,0.12,-0.37,-0.07,9.327,5.501,0.22,0.00000,117.80826,3,5
2020-07-11T21:40:32.00Z,37.8346608,-121.6321969,16.753,0.29,-0.10,0.10,8.900,5.272,0.63,0.00000,117.80830,3,5
2020-07-11T21:40:32.20Z,37.8346609,-121.6321977,16.814,0.25,-0.10,0.13,8.530,5.071,0.60,0.00000,117.80834,3,5
2020-07-11T21:40:32.40Z,37.8346622,-121.6321978,16.848,0.31,-0.03,0.07,8.212,4.877,0.70,0.00000,117.80840,3,5
2020-07-11T21:40:32.60Z,37.8346623,-121.6321990,16.990,0.29,-0.05,0.07,7.942,4.721,0.68,0.00000,117.80844,3,5
2020-07-11T21:40:32.80Z,37.8346617,-121.6321997,17.051,-0.10,-0.06,0.06,7.817,4.621,0.69,0.00000,117.80850,3,5
2020-07-11T21:40:33.00Z,37.8346620,-121.6321988,17.097,-0.06,0.42,0.04,7.621,4.526,0.28,0.00000,117.80852,3,5
2020-07-11T21:40:33.20Z,37.8346621,-121.6321977,17.124,-0.13,0.42,-0.04,7.444,4.451,0.29,0.00000,117.80856,3,5
2020-07-11T21:40:33.40Z,37.8346618,-121.6321972,17.253,-0.35,0.42,-0.06,7.274,4.368,0.44,0.00000,117.80860,3,5
2020-07-11T21:40:33.60Z,37.8346619,-121.6321962,17.294,-0.47,0.47,-0.06,7.142,4.288,0.49,0.00000,117.80866,3,5
2020-07-11T21:40:33.80Z,37.8346622,-121.6321949,17.247,-0.32,0.54,0.04,7.069,4.216,0.34,0.00000,117.80870,3,5
2020-07-11T21:40:34.00Z,37.8346631,-121.6321944,17.240,0.03,0.39,0.06,7.002,4.155,0.49,0.00000,117.80874,3,5
2020-07-11T21:40:34.20Z,37.8346629,-121.6321955,17.239,-0.34,-0.17,0.07,6.905,4.064,0.82,0.00000,117.80880,3,5
2020-07-11T21:40:34.40Z,37.8346637,-121.6321965,17.338,-0.06,-0.15,0.00,6.816,3.973,0.56,0.00000,117.80884,3,5
2020-07-11T21:40:34.60Z,37.8346709,-121.6321946,17.420,0.71,0.00,-0.05,6.700,3.918,0.81,0.18943,22.41182,3,5
2020-07-11T21:40:34.80Z,37.8346776,-121.6321926,17.477,0.79,-0.08,-0.06,6.607,3.875,0.78,357.27574,22.92951,3,5
2020-07-11T21:40:35.00Z,37.8346815,-121.6321924,17.443,0.32,-0.27,-0.09,6.474,3.817,0.46,357.27574,22.92969,3,5
2020-07-11T21:40:35.20Z,37.8346851,-121.6321925,17.433,0.29,-0.05,-0.09,6.334,3.737,0.56,357.27574,22.92991,3,5
2020-07-11T21:40:35.40Z,37.8346857,-121.6321923,17.445,0.24,-0.08,-0.04,6.216,3.684,0.53,357.27574,22.93012,3,5
2020-07-11T21:40:35.60Z,37.8346835,-121.6321935,17.472,-0.05,-0.14,-0.07,6.115,3.637,0.38,357.27574,22.93027,3,5
2020-07-11T21:40:35.80Z,37.8346837,-121.6321933,17.460,0.06,0.00,-0.05,6.020,3.596,0.41,357.27574,22.93043,3,5
2020-07-11T21:40:36.00Z,37.8346828,-121.6321936,17.460,-0.04,-0.12,-0.09,5.931,3.557,0.41,357.27574,22.93059,3,5
2020-07-11T21:40:36.20Z,37.8346804,-121.6321937,17.449,-0.09,-0.09,-0.08,5.839,3.519,0.55,357.27574,22.93080,3,5
2020-07-11T21:40:36.40Z,37.8346826,-121.6321950,17.401,0.03,-0.02,-0.05,5.743,3.482,0.29,357.27574,22.93092,3,5
2020-07-11T21:40:36.60Z,37.8346841,-121.6321955,17.449,-0.08,-0.04,-0.04,5.658,3.442,0.64,357.27574,22.93117,3,5
2020-07-11T21:40:36.80Z,37.8346852,-121.6321952,17.423,0.03,0.09,-0.02,5.578,3.415,0.33,357.27574,22.93130,3,5
2020-07-11T21:40:37.00Z,37.8346851,-121.6321956,17.447,-0.08,0.00,-0.04,5.496,3.381,0.65,357.27574,22.93156,3,5
2020-07-11T21:40:37.20Z,37.8346850,-121.6321962,17.391,0.04,0.07,0.02,5.425,3.348,0.50,357.27574,22.93176,3,5
2020-07-11T21:40:37.40Z,37.8346843,-121.6321972,17.421,0.01,-0.11,0.04,5.357,3.317,0.19,357.27574,22.93183,3,5
2020-07-11T21:40:37.60Z,37.8346853,-121.6321968,17.395,0.01,-0.04,0.07,5.290,3.284,0.29,357.27574,22.93194,3,5
