time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2020-07-11T21:40:30.20Z,37.8347216,-121.6321570,14.679,-0.09,0.15,-0.11,45.609,36.953,1.58,0.00000,180.00000,3,5
2020-07-11T21:40:30.40Z,37.8347224,-121.6321596,14.768,-0.08,-0.02,-0.09,21.955,17.602,0.36,0.00000,180.00000,3,5
2020-07-11T21:40:30.60Z,37.8347223,-121.6321571,14.925,-0.16,0.08,-0.07,23.879,19.162,0.46,0.00000,180.00000,3,5
2020-07-11T21:40:30.80Z,37.8347216,-121.6321566,15.135,-0.06,-0.07,-0.05,22.416,17.757,0.37,0.00000,180.00000,3,5
2020-07-11T21:40:31.00Z,37.8347224,-121.6321468,15.804,0.16,-0.03,-0.08,20.883,16.653,0.36,0.00000,180.00000,3,4
2020-07-11T21:40:31.20Z,37.8347238,-121.6321395,16.310,0.06,0.00,-0.15,19.536,15.674,0.54,0.00000,180.00000,3,4
2020-07-11T21:40:31.40Z,37.8347250,-121.6321359,16.573,0.01,0.00,-0.13,18.472,14.863,0.52,0.00000,180.00000,3,4
2020-07-11T21:40:31.60Z,37.8347256,-121.6321346,16.685,-0.02,-0.04,-0.07,17.540,14.147,0.23,0.00000,180.00000,3,4
2020-07-11T21:40:31.80Z,37.8347255,-121.6321353,16.614,-0.13,-0.14,-0.05,16.746,13.529,0.30,0.00000,84.93424,3,4
2020-07-11T21:40:32.00Z,37.8347248,-121.6321370,16.443,-0.17,-0.15,0.05,16.067,12.989,0.42,0.00000,84.93430,3,4
2020-07-11T21:40:32.20Z,37.8347239,-121.6321398,16.172,-0.13,-0.25,0.15,15.444,12.501,0.53,265.81310,43.09761,3,4
2020-07-11T21:40:32.40Z,37.8347229,-121.6321421,15.921,-0.10,-0.20,0.15,14.925,12.086,0.54,265.81310,43.09772,3,4
2020-07-11T21:40:32.60Z,37.8347219,-121.6321442,15.716,-0.07,-0.26,0.19,14.442,11.706,0.56,258.75445,35.74827,3,4
2020-07-11T21:40:32.80Z,37.8347212,-121.6321445,15.652,-0.07,-0.27,0.22,13.994,11.360,0.55,257.19124,35.70280,3,4
2020-07-11T21:40:33.00Z,37.8347206,-121.6321439,15.624,-0.07,-0.25,0.24,13.589,11.048,0.55,255.80782,39.81987,3,4
2020-07-11T21:40:33.20Z,37.8347202,-121.6321439,15.527,-0.02,-0.24,0.24,13.230,10.771,0.55,259.92992,43.30331,3,4
2020-07-11T21:40:33.40Z,37.8347198,-121.6321428,15.516,-0.07,-0.22,0.21,12.886,10.508,0.55,255.80203,42.84654,3,4
2020-07-11T21:40:33.60Z,37.8347196,-121.6321409,15.588,-0.07,-0.24,0.18,12.580,10.270,0.54,255.06377,37.98944,3,4
