time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2020-07-11T21:41:30.40Z,37.8347085,-121.6321288,13.868,-0.19,-0.02,-0.35,18.007,37.366,0.89,0.00000,61.93472,3,5
2020-07-11T21:41:30.60Z,37.8347021,-121.6321353,14.339,-0.11,-0.08,-0.24,12.025,17.798,0.47,0.00000,61.93479,3,5
2020-07-11T21:41:30.80Z,37.8347020,-121.6321357,14.448,-0.17,-0.04,-0.17,11.577,19.609,0.43,0.00000,61.93485,3,5
2020-07-11T21:41:31.00Z,37.8347008,-121.6321360,14.499,-0.16,-0.07,-0.06,10.032,18.116,0.35,0.00000,61.93490,3,5
2020-07-11T21:41:31.20Z,37.8346950,-121.6321400,15.788,-0.13,-0.04,-0.10,9.088,16.955,0.40,0.00000,61.93496,3,5
2020-07-11T21:41:31.40Z,37.8346910,-121.6321430,16.818,-0.09,-0.04,-0.05,8.379,15.491,0.37,0.00000,61.93501,3,5
2020-07-11T21:41:31.60Z,37.8346906,-121.6321433,16.914,-0.18,0.05,-0.05,7.871,14.430,0.35,0.00000,61.93507,3,5
2020-07-11T21:41:31.80Z,37.8346893,-121.6321438,17.112,-0.24,0.14,-0.10,7.177,13.790,0.30,0.00000,61.93511,3,5
2020-07-11T21:41:32.00Z,37.8346945,-121.6321396,15.841,0.19,0.44,0.03,6.313,12.306,0.21,55.37706,28.70651,3,5
2020-07-11T21:41:32.20Z,37.8346866,-121.6321450,17.475,0.25,0.17,-0.03,5.444,10.747,0.21,48.03483,39.07337,3,5
2020-07-11T21:41:32.40Z,37.8346926,-121.6321412,16.283,0.61,0.15,-0.04,4.970,9.910,0.35,20.36182,19.30843,3,5
2020-07-11T21:41:32.60Z,37.8347027,-121.6321353,14.085,0.62,0.01,0.07,4.632,9.306,0.34,11.18539,20.03366,3,5
2020-07-11T21:41:32.80Z,37.8347049,-121.6321341,13.566,0.48,0.08,0.15,4.361,8.669,0.34,10.46446,28.16801,3,5
2020-07-11T21:41:33.00Z,37.8347078,-121.6321325,12.816,0.30,-0.02,0.09,4.219,8.277,0.38,6.05301,42.63536,3,5
2020-07-11T21:41:33.20Z,37.8347077,-121.6321326,12.753,0.08,-0.11,0.04,4.141,8.003,0.33,6.05301,42.63543,3,5
2020-07-11T21:41:33.40Z,37.8347085,-121.6321323,12.626,0.21,-0.09,0.02,4.034,7.734,0.40,6.05301,42.63551,3,4
2020-07-11T21:41:33.60Z,37.8347113,-121.6321307,11.669,0.12,-0.08,0.06,3.877,7.390,0.36,6.05301,42.63559,3,4
2020-07-11T21:41:33.80Z,37.8347122,-121.6321302,11.251,0.04,-0.03,0.10,3.743,7.093,0.35,6.05301,42.63566,3,4
2020-07-11T21:41:34.00Z,37.8347100,-121.6321317,11.464,0.04,-0.14,0.08,3.628,6.834,0.24,6.05301,42.63571,3,4
2020-07-11T21:41:34.20Z,37.8347077,-121.6321334,11.928,0.09,-0.11,-0.02,3.528,6.601,0.37,6.05301,42.63579,3,4
2020-07-11T21:41:34.40Z,37.8347046,-121.6321347,12.228,-0.06,0.02,0.07,3.440,6.393,0.40,6.05301,42.63588,3,4
2020-07-11T21:41:34.60Z,37.8347033,-121.6321355,12.415,-0.01,-0.05,0.03,3.362,6.205,0.21,6.05301,42.63592,3,4
2020-07-11T21:41:34.80Z,37.8347024,-121.6321360,12.574,0.03,-0.02,0.03,3.287,6.024,0.35,6.05301,42.63600,3,4
2020-07-11T21:41:35.00Z,37.8347015,-121.6321363,12.724,0.05,-0.01,0.06,3.219,5.860,0.35,6.05301,42.63607,3,4
2020-07-11T21:41:35.20Z,37.8346994,-121.6321373,13.026,0.02,-0.02,0.04,3.158,5.709,0.32,6.05301,42.63614,3,4
2020-07-11T21:41:35.40Z,37.8346989,-121.6321377,13.115,0.06,-0.05,0.01,3.103,5.572,0.37,6.05301,42.63622,3,4
2020-07-11T21:41:35.60Z,37.8346989,-121.6321372,12.898,-0.08,0.07,0.06,3.058,5.455,0.39,6.05301,42.63630,3,4
2020-07-11T21:41:35.80Z,37.8347001,-121.6321368,12.561,-0.01,-0.18,0.00,3.016,5.343,0.24,6.05301,42.63635,3,4
2020-07-11T21:41:36.00Z,37.8347011,-121.6321366,12.189,0.04,-0.24,0.11,2.971,5.159,0.24,6.05301,42.63640,3,4
2020-07-11T21:41:36.20Z,37.8347015,-121.6321372,11.984,0.00,-0.35,0.16,2.926,4.811,0.20,6.05301,42.63649,3,4
2020-07-11T21:41:36.40Z,37.8347016,-121.6321386,11.916,-0.06,-0.50,0.15,2.899,4.553,0.20,312.53478,40.75580,3,5
2020-07-11T21:41:36.60Z,37.8347019,-121.6321393,11.877,0.20,-0.22,0.05,2.882,4.351,0.36,312.53478,40.75587,3,5
2020-07-11T21:41:36.80Z,37.8347013,-121.6321393,11.878,0.11,-0.06,0.08,2.866,4.325,0.38,312.53478,40.75596,3,5
2020-07-11T21:41:37.00Z,37.8347007,-121.6321385,11.647,-0.03,0.17,0.22,2.852,4.229,0.36,312.53478,40.75603,3,5
2020-07-11T21:41:37.20Z,37.8347005,-121.6321379,11.467,0.20,0.08,0.22,2.827,4.082,0.38,312.53478,40.75612,3,5
2020-07-11T21:41:37.40Z,37.8347013,-121.6321379,11.439,0.47,0.11,0.19,2.800,4.010,0.33,357.62827,23.61352,3,5
2020-07-11T21:41:37.60Z,37.8347039,-121.6321389,11.388,0.57,0.13,0.12,2.761,3.981,0.33,6.65715,19.38634,3,5
2020-07-11T21:41:37.80Z,37.8347052,-121.6321387,11.364,0.60,0.20,0.11,2.721,3.976,0.44,12.85271,18.78097,3,5
2020-07-11T21:41:38.00Z,37.8347075,-121.6321387,11.339,0.79,0.31,0.11,2.676,3.969,0.49,18.44120,13.12672,3,5
2020-07-11T21:41:38.20Z,37.8347078,-121.6321401,11.254,0.02,-0.01,0.13,2.621,3.946,0.41,18.44120,13.12701,3,5
2020-07-11T21:41:38.40Z,37.8347081,-121.6321410,11.210,0.02,-0.06,0.08,2.568,3.926,0.33,18.44120,13.12724,3,5
2020-07-11T21:41:38.60Z,37.8347076,-121.6321418,11.072,-0.08,-0.05,0.10,2.519,3.907,0.26,18.44120,13.12741,3,5
2020-07-11T21:41:38.80Z,37.8347086,-121.6321435,10.984,-0.11,-0.06,0.08,2.473,3.889,0.24,18.44120,13.12758,3,5
2020-07-11T21:41:39.00Z,37.8347074,-121.6321434,10.926,-0.14,-0.03,0.05,2.433,3.872,0.25,18.44120,13.12774,3,5
2020-07-11T21:41:39.20Z,37.8347059,-121.6321431,10.838,-0.11,0.00,0.07,2.397,3.854,0.25,18.44120,13.12792,3,5
2020-07-11T21:41:39.40Z,37.8347056,-121.6321436,10.799,-0.03,0.03,0.06,2.363,3.824,0.32,18.44120,13.12814,3,5
2020-07-11T21:41:39.60Z,37.8347046,-121.6321433,10.788,-0.05,0.01,0.02,2.325,3.783,0.23,18.44120,13.12830,3,5
2020-07-11T21:41:39.80Z,37.8347042,-121.6321434,10.739,0.00,0.04,0.01,2.293,3.751,0.26,18.44120,13.12848,3,5
