time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2020-07-11T18:46:36.20Z,37.7971048,-121.6088753,4031.657,68.68,-0.06,-5.50,127.369,127.353,4.65,359.95119,3.39789,3,4
2020-07-11T18:46:36.40Z,37.7972448,-121.6088738,4036.084,69.22,-0.46,-4.64,76.649,65.067,2.64,359.62166,2.32182,3,4
2020-07-11T18:46:36.60Z,37.7973787,-121.6088678,4039.981,69.27,-0.57,-4.25,77.199,70.181,2.39,359.52899,1.87287,3,4
2020-07-11T18:46:36.80Z,37.7977142,-121.6087886,4016.364,70.22,-0.92,-3.30,53.116,44.164,1.72,359.25287,1.63934,3,5
2020-07-11T18:46:37.00Z,37.7979223,-121.6087010,4005.812,70.02,-2.01,-3.21,31.960,25.921,1.16,358.35622,0.75964,3,6
2020-07-11T18:46:37.20Z,37.7980533,-121.6086965,4006.569,70.18,-2.60,-3.35,25.536,20.935,1.08,357.87912,0.63389,3,6
2020-07-11T18:46:37.40Z,37.7981921,-121.6086911,4007.125,70.35,-3.37,-3.61,21.748,18.005,0.72,357.25927,0.32594,3,6
2020-07-11T18:46:37.60Z,37.7983258,-121.6087009,4009.071,70.36,-4.06,-3.52,19.408,16.170,0.70,356.69875,0.32393,3,6
2020-07-11T18:46:37.80Z,37.7984575,-121.6087103,4010.122,70.16,-4.60,-3.51,17.818,14.844,0.74,356.24602,0.32341,3,6
2020-07-11T18:46:38.00Z,37.7985829,-121.6087173,4010.072,70.41,-5.09,-3.64,16.665,13.935,0.72,355.86649,0.35005,3,7
2020-07-11T18:46:38.20Z,37.7987106,-121.6087256,4010.413,70.36,-5.70,-3.72,15.762,13.344,0.69,355.37060,0.35002,3,7
2020-07-11T18:46:38.40Z,37.7988407,-121.6087269,4010.051,69.82,-6.42,-3.60,14.861,12.735,0.78,354.74558,0.35523,3,7
2020-07-11T18:46:38.60Z,37.7989707,-121.6087329,4009.979,69.59,-7.01,-3.57,14.135,12.238,0.79,354.24590,0.37891,3,7
2020-07-11T18:46:38.80Z,37.7991010,-121.6087453,4010.477,69.96,-7.24,-3.55,13.657,11.891,0.81,354.08846,0.42257,3,7
2020-07-11T18:46:39.00Z,37.7992312,-121.6087593,4011.210,69.96,-7.50,-3.50,13.257,11.591,0.90,353.87912,0.66956,3,7
2020-07-11T18:46:39.20Z,37.7993614,-121.6087747,4011.748,69.69,-8.65,-3.43,12.874,11.317,0.90,352.92742,0.63124,3,7
2020-07-11T18:46:39.40Z,37.7994871,-121.6087960,4012.451,69.13,-9.73,-3.32,12.478,11.039,0.79,351.98834,0.41878,3,7
2020-07-11T18:46:39.60Z,37.7996130,-121.6088188,4013.216,68.76,-10.29,-3.27,12.056,10.755,0.77,351.48584,0.39135,3,7
2020-07-11T18:46:39.80Z,37.7997447,-121.6088405,4014.409,68.90,-10.94,-3.21,11.567,10.472,0.72,350.97730,0.37278,3,8
2020-07-11T18:46:40.00Z,37.7998724,-121.6088665,4016.003,68.49,-11.47,-3.17,11.064,10.166,0.64,350.49169,0.34603,3,8
2020-07-11T18:46:40.20Z,37.7999992,-121.6088933,4017.220,68.64,-12.11,-3.15,10.636,9.906,0.53,349.99845,0.32642,3,8
2020-07-11T18:46:40.40Z,37.8001273,-121.6089181,4018.063,68.44,-12.54,-3.23,10.255,9.666,0.65,349.61885,0.32376,3,8
2020-07-11T18:46:40.60Z,37.8002529,-121.6089477,4019.031,68.31,-13.09,-3.27,9.929,9.459,0.83,349.14966,0.34012,3,8
2020-07-11T18:46:40.80Z,37.8003774,-121.6089787,4020.007,68.32,-13.91,-3.41,9.633,9.283,0.90,348.49524,0.38844,3,8
2020-07-11T18:46:41.00Z,37.8005004,-121.6090106,4020.962,67.87,-14.09,-3.48,9.240,9.039,0.80,348.26857,0.37903,3,9
2020-07-11T18:46:41.20Z,37.8006218,-121.6090403,4022.437,67.87,-14.58,-3.63,8.844,8.740,0.56,347.87373,0.28287,3,9
2020-07-11T18:46:41.40Z,37.8007454,-121.6090728,4023.495,67.70,-15.07,-3.71,8.581,8.539,0.57,347.44844,0.28610,3,9
2020-07-11T18:46:41.60Z,37.8008693,-121.6091059,4024.584,67.61,-15.50,-3.80,8.362,8.364,0.68,347.08996,0.34237,3,9
2020-07-11T18:46:41.80Z,37.8009917,-121.6091404,4025.692,67.67,-16.15,-3.94,8.179,8.194,0.86,346.58104,0.36837,3,9
2020-07-11T18:46:42.00Z,37.8011119,-121.6091768,4026.605,67.16,-16.70,-3.96,8.005,8.037,0.81,346.03504,0.39162,3,9
2020-07-11T18:46:42.20Z,37.8012319,-121.6092150,4027.465,66.76,-17.21,-3.93,7.843,7.884,0.80,345.54325,0.39551,3,9
2020-07-11T18:46:42.40Z,37.8013523,-121.6092550,4028.321,66.62,-17.54,-3.92,7.686,7.741,0.86,345.24692,0.43590,3,9
2020-07-11T18:46:42.60Z,37.8014722,-121.6092971,4029.330,66.26,-18.58,-4.01,7.535,7.602,0.67,344.33889,0.41144,3,9
2020-07-11T18:46:42.80Z,37.8015917,-121.6093403,4030.251,66.14,-18.86,-3.98,7.394,7.470,0.67,344.08793,0.41415,3,9
2020-07-11T18:46:43.00Z,37.8017096,-121.6093853,4031.092,65.69,-19.55,-3.98,7.264,7.344,0.67,343.42487,0.42471,3,9
2020-07-11T18:46:43.20Z,37.8018279,-121.6094311,4032.135,65.41,-20.18,-4.03,7.137,7.224,0.66,342.85488,0.41564,3,9
2020-07-11T18:46:43.40Z,37.8019467,-121.6094776,4033.078,65.39,-20.48,-4.11,7.018,7.108,0.65,342.61075,0.40919,3,9
2020-07-11T18:46:43.60Z,37.8020642,-121.6095260,4033.952,64.99,-21.16,-4.12,6.922,7.006,0.70,341.96709,0.44832,3,9
2020-07-11T18:46:43.80Z,37.8021814,-121.6095752,4034.909,64.79,-21.65,-4.17,6.832,6.912,0.71,341.52460,0.44995,3,9
2020-07-11T18:46:44.00Z,37.8022995,-121.6096243,4035.783,65.10,-21.58,-4.16,6.750,6.824,0.74,341.65578,0.70226,3,9
2020-07-11T18:46:44.20Z,37.8024163,-121.6096749,4036.634,64.85,-22.03,-4.21,6.678,6.741,0.75,341.23998,0.79976,3,9
2020-07-11T18:46:44.40Z,37.8025317,-121.6097270,4037.435,64.35,-22.53,-4.16,6.611,6.672,0.89,340.70256,0.80239,3,9
2020-07-11T18:46:44.60Z,37.8026469,-121.6097800,4038.294,64.00,-22.96,-4.18,6.551,6.609,1.00,340.26307,0.78002,3,9
2020-07-11T18:46:44.80Z,37.8027619,-121.6098339,4039.318,63.83,-23.45,-4.28,6.500,6.551,1.08,339.82378,0.79648,3,9
2020-07-11T18:46:45.00Z,37.8028783,-121.6098893,4040.402,64.07,-24.09,-4.41,6.456,6.497,1.08,339.39563,0.76360,3,9
2020-07-11T18:46:45.20Z,37.8029943,-121.6099459,4041.467,64.06,-24.66,-4.48,6.413,6.445,1.10,338.94607,0.72539,3,9
2020-07-11T18:46:45.40Z,37.8031076,-121.6100065,4042.659,63.28,-26.02,-4.64,6.373,6.392,1.10,337.64569,0.51804,3,9
2020-07-11T18:46:45.60Z,37.8032200,-121.6100666,4043.734,62.85,-26.53,-4.61,6.338,6.342,1.10,337.11713,0.52747,3,9
2020-07-11T18:46:45.80Z,37.8033317,-121.6101268,4044.885,62.34,-26.63,-4.88,6.294,6.290,1.05,336.86781,0.51035,3,9
2020-07-11T18:46:46.00Z,37.8034423,-121.6101891,4045.881,61.97,-27.35,-4.79,6.254,6.244,1.05,336.18643,0.50780,3,9
2020-07-11T18:46:46.20Z,37.8035540,-121.6102533,4046.905,61.88,-28.41,-4.77,6.212,6.193,1.05,335.33929,0.47178,3,9
2020-07-11T18:46:46.40Z,37.8036638,-121.6103188,4048.058,61.37,-28.90,-4.79,6.167,6.145,1.02,334.78222,0.47480,3,9
2020-07-11T18:46:46.60Z,37.8037719,-121.6103842,4048.906,60.89,-28.91,-4.60,6.121,6.104,0.97,334.59957,0.49904,3,9
2020-07-11T18:46:46.80Z,37.8038791,-121.6104512,4049.813,60.22,-29.56,-4.56,6.072,6.062,0.74,333.85673,0.50360,3,9
2020-07-11T18:46:47.00Z,37.8039863,-121.6105191,4050.947,59.69,-30.13,-4.78,6.032,6.020,0.95,333.21619,0.52313,3,9
2020-07-11T18:46:47.20Z,37.8040935,-121.6105888,4052.008,59.59,-30.87,-4.79,5.993,5.979,0.99,332.61007,0.56520,3,9
2020-07-11T18:46:47.40Z,37.8041998,-121.6106582,4053.041,59.35,-30.79,-4.81,5.959,5.938,1.03,332.57628,0.80232,3,9
2020-07-11T18:46:47.60Z,37.8043054,-121.6107292,4054.051,59.03,-31.19,-4.81,5.922,5.897,1.02,332.14431,0.83448,3,9
2020-07-11T18:46:47.80Z,37.8044106,-121.6108005,4055.091,58.72,-31.39,-4.85,5.888,5.858,1.03,331.87503,0.85151,3,9
2020-07-11T18:46:48.00Z,37.8045134,-121.6108736,4056.078,57.98,-31.92,-4.82,5.849,5.819,1.02,331.16337,0.79156,3,9
2020-07-11T18:46:48.20Z,37.8046164,-121.6109465,4057.117,57.55,-32.15,-4.84,5.811,5.780,1.01,330.81505,0.75842,3,9
2020-07-11T18:46:48.40Z,37.8047171,-121.6110233,4058.296,56.60,-33.39,-5.02,5.762,5.741,0.77,329.46468,0.48416,3,9
2020-07-11T18:46:48.60Z,37.8048184,-121.6111006,4059.348,56.29,-34.05,-5.07,5.718,5.702,0.75,328.83108,0.47177,3,9
2020-07-11T18:46:48.80Z,37.8049193,-121.6111784,4060.422,56.02,-34.43,-5.03,5.674,5.662,0.74,328.42048,0.46807,3,9
2020-07-11T18:46:49.00Z,37.8050193,-121.6112573,4061.517,55.61,-34.92,-5.10,5.631,5.623,0.73,327.87742,0.46299,3,9
2020-07-11T18:46:49.20Z,37.8051183,-121.6113371,4062.621,55.07,-35.33,-5.12,5.580,5.583,0.70,327.31811,0.44681,3,9
2020-07-11T18:46:49.40Z,37.8052170,-121.6114186,4063.739,54.71,-35.95,-5.09,5.523,5.530,0.58,326.69498,0.39801,3,9
2020-07-11T18:46:49.60Z,37.8053146,-121.6115015,4064.762,54.22,-36.36,-5.02,5.471,5.484,0.58,326.15253,0.39728,3,9
2020-07-11T18:46:49.80Z,37.8054114,-121.6115847,4065.811,53.73,-36.77,-4.98,5.424,5.443,0.57,325.60978,0.40198,3,9
2020-07-11T18:46:50.00Z,37.8055072,-121.6116689,4066.873,53.24,-37.17,-4.94,5.380,5.410,0.61,325.08379,0.40422,3,9
2020-07-11T18:46:50.20Z,37.8056023,-121.6117542,4067.969,52.65,-37.66,-4.92,5.339,5.379,0.62,324.42818,0.41023,3,9
2020-07-11T18:46:50.40Z,37.8056983,-121.6118408,4069.035,52.68,-38.00,-4.86,5.299,5.348,0.60,324.19294,0.40643,3,9
2020-07-11T18:46:50.60Z,37.8057924,-121.6119283,4070.103,52.02,-38.47,-4.83,5.260,5.315,0.56,323.51483,0.40735,3,9
2020-07-11T18:46:50.80Z,37.8058863,-121.6120164,4071.121,51.66,-38.81,-4.78,5.219,5.284,0.43,323.08124,0.38821,3,9
2020-07-11T18:46:51.00Z,37.8059787,-121.6121058,4072.068,50.98,-39.33,-4.73,5.184,5.256,0.45,322.35463,0.39561,3,9
2020-07-11T18:46:51.20Z,37.8060713,-121.6121952,4073.062,51.08,-39.39,-4.77,5.161,5.231,0.55,322.36352,0.56541,3,9
2020-07-11T18:46:51.40Z,37.8061629,-121.6122857,4074.056,50.70,-39.83,-4.82,5.142,5.208,0.56,321.84854,0.58838,3,9
2020-07-11T18:46:51.60Z,37.8062545,-121.6123768,4075.031,50.59,-40.12,-4.83,5.125,5.186,0.63,321.58900,0.58910,3,9
2020-07-11T18:46:51.80Z,37.8063458,-121.6124674,4075.957,50.46,-39.88,-4.84,5.110,5.160,0.65,321.68234,0.88290,3,9
2020-07-11T18:46:52.00Z,37.8064362,-121.6125590,4076.811,50.23,-40.14,-4.72,5.093,5.131,0.61,321.37312,0.96559,3,9
2020-07-11T18:46:52.20Z,37.8065260,-121.6126505,4077.630,49.95,-40.12,-4.60,5.078,5.103,0.59,321.22827,1.01818,3,9
2020-07-11T18:46:52.40Z,37.8066149,-121.6127440,4078.477,49.60,-40.63,-4.50,5.057,5.067,0.43,320.67706,0.99546,3,9
2020-07-11T18:46:52.60Z,37.8067015,-121.6128385,4079.527,48.88,-41.22,-4.45,5.035,5.034,0.42,319.85932,0.99136,3,9
2020-07-11T18:46:52.80Z,37.8067883,-121.6129334,4080.498,48.42,-41.45,-4.38,5.017,5.005,0.42,319.43392,1.01939,3,9
2020-07-11T18:46:53.00Z,37.8068738,-121.6130295,4081.218,48.02,-41.82,-4.13,4.999,4.970,0.39,318.95365,1.01820,3,9
2020-07-11T18:46:53.20Z,37.8069587,-121.6131257,4081.970,47.65,-42.09,-4.01,4.985,4.940,0.48,318.54140,1.05359,3,9
2020-07-11T18:46:53.40Z,37.8070419,-121.6132240,4082.698,46.98,-42.56,-3.88,4.953,4.910,0.49,317.82464,1.00665,3,9
2020-07-11T18:46:53.60Z,37.8071268,-121.6133210,4083.360,46.91,-42.52,-3.69,4.907,4.873,0.48,317.80778,0.96885,3,9
2020-07-11T18:46:53.80Z,37.8072114,-121.6134187,4084.134,46.78,-42.71,-3.65,4.857,4.838,0.46,317.60409,0.79677,3,9
2020-07-11T18:46:54.00Z,37.8072954,-121.6135158,4084.790,46.69,-42.64,-3.53,4.810,4.805,0.45,317.59134,0.75047,3,9
2020-07-11T18:46:54.20Z,37.8073791,-121.6136140,4085.396,46.54,-42.78,-3.34,4.775,4.784,0.47,317.41438,0.74529,3,9
