time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2020-07-11T23:21:45.52Z,37.8348020,-121.6321847,48.244,3.91,-2.88,8.98,125.392,184.666,7.91,323.64545,22.05874,3,6
2020-07-11T23:21:45.79Z,37.8349077,-121.6323047,42.391,7.85,-4.78,12.62,54.788,37.690,3.88,328.04229,7.96417,3,6
2020-07-11T23:21:45.98Z,37.8349484,-121.6323915,26.734,7.28,-4.01,11.94,56.935,36.789,2.81,329.59108,5.64662,3,6
2020-07-11T23:21:46.19Z,37.8349547,-121.6324493,12.558,5.49,-2.03,11.44,40.070,73.005,6.60,330.08080,5.52978,3,6
2020-07-11T23:21:46.39Z,37.8349711,-121.6324929,10.047,5.20,-2.23,11.53,35.942,40.952,3.67,330.49439,5.37763,3,6
2020-07-11T23:21:46.60Z,37.8349972,-121.6324975,8.199,4.97,-2.05,11.58,26.721,35.719,3.22,331.00020,5.20465,3,6
2020-07-11T23:21:46.80Z,37.8350058,-121.6324938,7.220,4.80,-1.88,11.54,22.324,31.982,2.93,331.55214,5.03457,3,6
2020-07-11T23:21:47.00Z,37.8350109,-121.6324947,6.197,4.57,-1.70,11.50,19.075,28.491,2.69,332.10221,4.88000,3,6
2020-07-11T23:21:47.20Z,37.8350261,-121.6324919,6.283,4.25,-1.23,11.37,16.783,26.251,2.50,332.77466,4.75991,3,6
2020-07-11T23:21:47.40Z,37.8350342,-121.6324826,5.107,4.11,-0.80,11.20,15.445,24.584,2.35,333.56341,4.66477,3,6
2020-07-11T23:21:47.60Z,37.8350419,-121.6324740,4.201,3.88,-0.24,10.87,14.232,22.803,2.18,334.51701,4.58825,3,7
2020-07-11T23:21:47.80Z,37.8350462,-121.6324722,1.746,3.72,0.25,10.60,12.767,19.995,2.01,335.71749,4.51477,3,7
2020-07-11T23:21:48.00Z,37.8350455,-121.6324673,-0.736,3.66,0.96,10.12,10.676,17.047,1.82,337.85678,4.41011,3,7
2020-07-11T23:21:48.20Z,37.8350454,-121.6324664,-1.643,3.39,1.08,9.76,9.746,15.830,1.71,339.82800,4.32037,3,7
2020-07-11T23:21:48.40Z,37.8350409,-121.6324623,-1.386,3.15,1.36,9.35,8.975,14.726,1.60,341.82835,4.24029,3,7
2020-07-11T23:21:48.60Z,37.8350370,-121.6324548,-0.689,2.97,1.75,8.98,8.429,13.844,1.50,343.88850,4.16937,3,7
2020-07-11T23:21:48.80Z,37.8350399,-121.6324543,-1.743,2.94,2.12,8.72,8.073,13.281,1.41,346.35930,4.08870,3,7
2020-07-11T23:21:49.00Z,37.8350425,-121.6324562,-2.922,2.91,2.41,8.47,7.731,12.793,1.34,349.01764,4.00515,3,7
2020-07-11T23:21:49.20Z,37.8350468,-121.6324504,-3.248,2.65,2.33,8.26,7.393,12.292,1.30,351.24507,3.93853,3,7
2020-07-11T23:21:49.40Z,37.8350514,-121.6324405,-2.803,2.60,2.37,7.93,7.103,11.842,1.27,353.28828,3.87845,3,7
2020-07-11T23:21:49.60Z,37.8350562,-121.6324407,-3.189,4.06,1.64,7.57,6.853,11.458,1.27,355.30628,3.75931,3,7
2020-07-11T23:21:49.80Z,37.8350611,-121.6324448,-3.034,5.06,0.97,7.31,6.632,11.160,1.25,356.72286,3.60412,3,7
2020-07-11T23:21:50.00Z,37.8350583,-121.6324519,-1.873,5.11,0.60,7.09,6.393,10.818,1.22,357.54592,3.47400,3,7
2020-07-11T23:21:50.20Z,37.8350625,-121.6324528,-2.152,4.91,0.31,6.96,6.245,10.636,1.23,357.95317,3.37604,3,7
2020-07-11T23:21:50.40Z,37.8350660,-121.6324517,-1.731,4.63,0.08,6.78,6.052,10.327,1.20,358.13389,3.29700,3,7
2020-07-11T23:21:50.60Z,37.8350733,-121.6324506,-2.377,4.36,-0.08,6.63,5.962,10.208,1.19,358.17233,3.24055,3,7
2020-07-11T23:21:50.80Z,37.8350787,-121.6324507,-3.265,4.31,-0.11,6.43,5.880,10.052,1.18,358.18832,3.19870,3,7
