time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2020-07-11T23:21:48.15Z,37.8350947,-121.6329224,-1.899,-0.23,0.11,0.19,946.368,1248.895,3.32,0.00000,180.00000,3,4
2020-07-11T23:21:48.37Z,37.8350502,-121.6326880,20.063,0.07,0.04,0.06,538.716,339.792,1.36,0.00000,180.00000,3,4
2020-07-11T23:21:48.63Z,37.8350390,-121.6328606,-29.791,-0.16,0.10,0.03,30.393,45.342,0.44,0.00000,180.00000,3,4
2020-07-11T23:21:48.80Z,37.8350098,-121.6328165,-27.064,-0.02,0.05,0.08,27.388,32.114,0.48,0.00000,180.00000,3,4
2020-07-11T23:21:49.00Z,37.8349842,-121.6327899,-22.994,-0.01,-0.24,0.18,17.977,23.504,0.63,0.00000,54.75836,3,5
2020-07-11T23:21:49.20Z,37.8349643,-121.6327590,-21.014,0.17,-0.29,0.24,15.285,21.642,0.60,0.00000,54.75846,3,5
2020-07-11T23:21:49.40Z,37.8349778,-121.6327430,-18.569,0.15,-0.37,0.40,13.784,20.599,0.65,313.74946,37.83373,3,5
2020-07-11T23:21:49.60Z,37.8349775,-121.6327323,-17.384,-0.01,-0.38,0.52,12.231,18.493,0.65,292.42015,40.47505,3,5
2020-07-11T23:21:49.80Z,37.8349780,-121.6327245,-15.626,0.10,-0.59,0.65,11.224,17.177,0.61,282.27309,21.73071,3,5
2020-07-11T23:21:50.20Z,37.8349729,-121.6327172,-15.563,0.09,-0.57,0.72,10.309,15.718,0.54,278.99339,20.77032,3,5
2020-07-11T23:21:50.40Z,37.8349699,-121.6327134,-15.274,0.13,-0.73,0.76,9.538,14.503,0.49,279.42413,18.14823,3,6
2020-07-11T23:21:50.60Z,37.8349704,-121.6327043,-13.644,0.11,-0.54,0.74,8.748,13.127,0.47,280.19321,23.92501,3,6
2020-07-11T23:21:51.00Z,37.8349748,-121.6326948,-13.238,0.05,-0.49,0.63,8.122,11.990,0.44,276.07226,23.62325,3,5
2020-07-11T23:21:51.40Z,37.8349734,-121.6326805,-10.576,0.07,-0.55,0.68,7.695,11.183,0.43,277.19104,26.45850,3,5
2020-07-11T23:21:51.80Z,37.8349737,-121.6326688,-8.476,-0.15,-0.64,0.63,7.307,10.497,0.40,258.00734,25.71646,3,5
2020-07-11T23:21:52.00Z,37.8349762,-121.6326595,-6.755,-0.39,-0.84,0.67,6.941,9.914,0.36,249.56798,19.02528,3,7
2020-07-11T23:21:52.20Z,37.8349796,-121.6326496,-5.198,-0.03,-0.84,0.43,6.660,9.431,0.41,259.60882,17.45326,3,7
2020-07-11T23:21:52.40Z,37.8349807,-121.6326401,-3.916,0.03,-0.70,0.64,6.412,9.018,0.40,265.22737,19.39948,3,7
2020-07-11T23:21:52.60Z,37.8349791,-121.6326209,-1.460,-0.01,-0.36,0.64,6.186,8.634,0.38,265.22737,19.39982,3,7
2020-07-11T23:21:52.80Z,37.8349806,-121.6326140,-0.986,0.15,-0.14,0.63,5.974,8.248,0.35,265.22737,19.40013,3,8
2020-07-11T23:21:53.00Z,37.8349799,-121.6326090,-0.795,-0.28,0.07,0.57,5.778,7.856,0.42,265.22737,19.40042,3,8
2020-07-11T23:21:53.20Z,37.8349795,-121.6326017,-0.087,-0.55,-0.20,0.48,5.597,7.487,0.48,265.22737,19.40077,3,8
2020-07-11T23:21:53.40Z,37.8349812,-121.6325943,0.703,-0.26,-0.21,0.44,5.420,7.176,0.37,265.22737,19.40103,3,8
2020-07-11T23:21:53.60Z,37.8349813,-121.6325891,1.059,-0.01,-0.35,0.47,5.233,6.837,0.39,265.22737,19.40130,3,8
2020-07-11T23:21:53.80Z,37.8349798,-121.6325852,1.383,-0.09,-0.50,0.57,5.106,6.628,0.37,264.31909,40.79121,3,8
2020-07-11T23:21:54.00Z,37.8349807,-121.6325822,1.605,0.09,-0.42,0.70,4.980,6.374,0.39,264.31909,40.79139,3,8
2020-07-11T23:21:54.20Z,37.8349818,-121.6325794,1.774,0.11,-0.35,0.60,4.858,6.155,0.40,274.63494,44.31123,3,8
2020-07-11T23:21:54.40Z,37.8349843,-121.6325768,1.976,0.11,-0.28,0.33,4.730,5.914,0.39,274.63494,44.31132,3,8
2020-07-11T23:21:54.60Z,37.8349854,-121.6325766,1.801,0.04,-0.49,0.34,4.633,5.707,0.39,274.57789,30.01611,3,8
2020-07-11T23:21:54.80Z,37.8349867,-121.6325742,2.046,0.08,-0.36,0.34,4.541,5.504,0.41,278.11325,36.46103,3,8
2020-07-11T23:21:55.00Z,37.8349868,-121.6325726,2.107,0.00,-0.21,0.33,4.464,5.361,0.44,278.11325,36.46114,3,8
2020-07-11T23:21:55.20Z,37.8349876,-121.6325714,2.169,0.35,-0.33,0.26,4.402,5.245,0.47,278.11325,36.46127,3,8
2020-07-11T23:21:55.38Z,37.8349924,-121.6325882,0.403,0.18,-0.65,0.24,4.294,5.104,0.60,283.36116,21.16788,3,7
2020-07-11T23:21:55.58Z,37.8349950,-121.6325862,0.994,0.05,-0.28,0.14,4.228,5.009,0.57,283.36116,21.16813,3,8
2020-07-11T23:21:55.80Z,37.8349979,-121.6325835,1.716,-0.02,-0.16,0.08,4.169,4.900,0.47,283.36116,21.16835,3,8
2020-07-11T23:21:56.00Z,37.8349997,-121.6325822,2.185,-0.07,-0.34,0.18,4.117,4.805,0.50,283.36116,21.16856,3,8
2020-07-11T23:21:56.20Z,37.8350013,-121.6325816,2.431,-0.13,-0.29,0.19,4.065,4.751,0.50,283.36116,21.16877,3,8
2020-07-11T23:21:56.40Z,37.8350026,-121.6325809,2.645,-0.29,-0.12,0.14,4.012,4.697,0.32,283.36116,21.16892,3,7
2020-07-11T23:21:56.60Z,37.8350023,-121.6325793,2.930,-0.39,-0.25,0.17,3.976,4.645,0.37,283.36116,21.16913,3,7
2020-07-11T23:21:56.80Z,37.8350028,-121.6325765,3.479,-0.02,-0.25,0.12,3.923,4.565,0.59,283.36116,21.16938,3,7
2020-07-11T23:21:57.00Z,37.8350034,-121.6325741,4.022,0.01,-0.30,0.09,3.871,4.484,0.60,280.43973,36.64452,3,7
2020-07-11T23:21:57.20Z,37.8350031,-121.6325701,4.678,0.10,-0.11,0.08,3.819,4.395,0.50,280.43973,36.64464,3,7
2020-07-11T23:21:57.40Z,37.8350036,-121.6325664,5.348,0.14,-0.11,0.04,3.766,4.311,0.45,280.43973,36.64475,3,7
2020-07-11T23:21:57.60Z,37.8350052,-121.6325635,5.830,0.07,0.01,0.01,3.720,4.246,0.23,280.43973,36.64481,3,7
